time,team,player,event,against,notes
11:24:00,off in Public,pope,turnover,,sad panda
11:30:00,off in Public,jeff,steal,,
11:35:00,off in Public,ev,assist,,
11:36:00,off in Public,jeff,2pt_made,,
11:52:00,off in Public,pope,steal,,missed call
11:56:00,off in Public,pope,assist,,
11:58:00,off in Public,eli,3pt_made,,
12:08:00,B-Ball team,#1,2pt_made,jeff,
12:18:00,off in Public,eli,2pt_attempt,,
12:23:00,off in Public,eman,steal,,
12:31:00,off in Public,pope,2pt_made,,
12:37:00,B-Ball team,#4,3pt_made,eman,
12:47:00,off in Public,ev,3pt_attempt,,
12:49:00,off in Public,pope,offensive_rebound,,
12:54:00,off in Public,eli,3pt_attempt,,
12:55:00,off in Public,ev,offensive_rebound,,
12:56:00,off in Public,ev,2pt_made,,
13:13:00,B-Ball team,#1,3pt_attempt,,
13:15:00,off in Public,eman,defensive_rebound,,
13:19:00,off in Public,eli,assist,,
13:20:00,off in Public,ev,2pt_made,,
13:32:00,B-Ball team,jacoby,3pt_attempt,,
13:34:00,off in Public,eli, defensive_rebound,,
13:40:00,off in Public,eli,2pt_attempt,,
13:41:00,off in Public,ev,offensive_rebound,,
13:42:00,off in Public,ev,2pt_attempt,,
13:43:00,off in Public,eli,2pt_made,,
13:58:00,B-Ball team,#1,3pt_attempt,,
13:59:00,off in Public,eli,defensive_rebound,,
14:04:00,off in Public,eli, assist,,
14:05:00,off in Public,jeff,2pt_made,,
14:15:00,B-Ball team,#4,3pt_made,eman,
14:30:00,off in Public,eli, assist,,
14:31:00,off in Public,ev,3pt_made,,
14:48:00,off in Public,jeff,steal,,
14:50:00,off in Public,jeff,2pt_made,,
14:57:00,B-Ball team,#1,2pt_made,jeff,help defense
15:05:00,off in Public,eli,3pt_made,,
15:07:00,B-Ball team,#1,3pt_attempt,,
15:08:00,off in Public,eli,defensive_rebound,,
15:23:00,off in Public,eli,2pt_made,,
16:00:00,off in Public,jeff,foul,,
16:30:00,B-Ball team,#1,ft_made,,
16:39:00,B-Ball team,#1,ft_made,,
16:46:00,B-Ball team,#1,ft_made,,
16:58:00,off in Public,eman,assist,,
17:00,off in Public,ev,2pt_made,,
17:06:00,B-Ball team,#4,turnover,,
17:07:00,off in Public,ev,steal,,
17:15:00,off in Public,eli,3pt_attempt,,
17:19:00,B-Ball team,scott,turnover,,
17:19:00,off in Public,eli,steal,,
17:23:00,off in Public,eli,assist,,
17:24:00,off in Public,joey,2pt_made,,
17:41:00,B-Ball team,#4,turnover,,
17:41:00,off in Public,eman,steal,,
18:00:00,off in Public,jeff,3pt_attempt,,
18:05:00,off in Public,eli,3pt_made,,
18:15:00,B-Ball team,---,2pt_attempt,,
18:18:00,B-Ball team,jacoby,offensive_rebound,,
18:18:00,B-Ball team,jacoby,2pt_attempt,,
18:20:00,off in Public,eman,defensive_rebound,,
18:43:00,off in Public,eli,turnover,,
18:45:00,B-Ball team,#1,3pt_attempt,,
18:49:00,off in Public,ev,defensive_rebound,,
18:53:00,off in Public,ev,assist,,
18:55:00,off in Public,eli,2pt_made,,
19:00:00,B-Ball team,scott,3pt_attempt,,
19:01:00,off in Public,ev,defensive_rebound,,
19:05:00,off in Public,joey,3pt_attempt,,
19:06:00,off in Public,ev,offensive_rebound,,
19:09:00,off in Public,ev,2pt_made,,
19:31:00,off in Public,eli,2pt_attempt,,
19:32:00,off in Public,jeff,offensive_rebound,,
19:33:00,off in Public,jeff,2pt_made,,
19:40:00,B-Ball team,#1,3pt_attempt,,
19:41:00,off in Public,jeff,defensive_rebound,,
19:42:00,off in Public,jeff,assist,,
19:47:00,off in Public,eli,2pt_made,,
19:54:00,off in Public,ev,steal,,
19:55:00,off in Public,ev,assist,,
19:56:00,off in Public,eman,2pt_made,,
20:10:00,B-Ball team,scott,2pt_made,joey,
20:18:00,off in Public,eli,3pt_attempt,,
20:20:00,B-Ball team,jacoby,defensive_rebound,,
20:23:00,B-Ball team,#4,3pt_made,joey,
20:28:00,off in Public,eli,assist,,
20:29:00,off in Public,ev,3pt_made,,
20:32:00,B-Ball team,#1,3pt_made,eman,
