Half,time,team,player,event,against,notes,half
1,17:28,0,12,2pt_attempt,ev,,
1,17:51,0,ev,turnover,,,
1,18:05,1,headband,3pt_attempt,nick,,
1,18:06,0,ev,dreb,,,
1,18:26,0,pope,assist,,,
1,18:28,0,trev,3pt_made,,,
1,18:47,1,3,3pt_attempt,trev,,
1,18:50,0,ev,dreb,,,
1,19:17,0,eman,2pt_attempt,,,
1,20:22,0,pope,assist,,,
1,20:24,0,trev,3pt_made,,,
1,20:47,0,nick,3pt_attempt,,,
1,20:48,0,pope,oreb,,,
1,20:54,0,trev,3pt_attempt,,,
1,21:14,0,ev,turnover,,,
2,1:31,1,headband,3pt_made,trev,switch pick,
2,1:38,0,pope,2pt_attempt,,foul?,
2,1:39,0,dylan,oreb,,,
2,1:40,0,dylan,2pt_made,,,
2,2:23,0,dylan,steal,,,
2,2:26,0,dom,assist,,,
2,2:28,0,trev,2pt_made,,,
2,5:08,0,trev,steal,,,
2,5:29,0,pope,steal,,,
2,5:55,0,trev,2pt_attempt,,,
2,6:07,0,trev,block,,,
2,6:08,0,trev,dreb,,,
2,6:18,0,dylan,3pt_attempt,,,
2,6:19,0,jared,oreb,,,
2,6:21,0,jared,2pt_attempt,,,
2,6:22,0,jared,oreb,,,
2,6:24,0,dom,2pt_attepmt,,,
2,6:25,0,jared,oreb,,,
2,6:32,0,trev,3pt_attempt,,,
2,6:48,0,dom,block,,on headband,
2,6:56,0,dylan,3pt_attempt,,,
2,6:57,0,nick,oreb,,,
2,7:03,0,trev,3pt_attempt,,,
2,7:13,1,12,3pt_attempt,nick,,
2,7:15,0,dom,dreb,,,
2,7:23,0,jared,3pt_attempt,,,
2,7:33,0,trev,foul,,,
2,8:00,1,12,ft_made,,can't see,
2,8:15,1,12,ft_attempt,,,
2,8:25,1,headband,oreb,,,
2,8:26,1,headband,2pt_made,,,
2,8:40,0,ev,assist,,,
2,8:41,0,nick,3pt_made,,,
2,8:54,0,jared,block,,,
2,8:55,0,nick,dreb,,,
2,9:00,0,ev,turnover,,,
2,9:14,1,12,2pt_attempt,,,
2,9:19,0,ev,dreb,,,
2,9:23,0,eman,2pt_made,,,
2,9:35,1,headband,2pt_attempt,,,
2,9:50,1,00,3pt_attempt,,,
2,9:51,0,eman,dreb,,,
2,9:53,0,eman,assist,,,
2,9:54,0,nick,3pt_made,,,
2,10:14,1,12,2pt_made,,,
2,10:22,0,nick,turnover,,,
2,10:27,0,jared,block,,,
2,11:55,0,eman,ft_made,,,
2,12:11,0,eman,ft_made,,,
2,12:26,1,3,3pt_attempt,pope,,
2,12:27,0,dylan,dreb,,,
2,14:15,0,dylan,ft_made,,,
2,14:30,0,dylan,ft_attempt,,,
2,14:31,0,nick,oreb,,,
2,14:50,0,nick,3pt_attempt,,,
2,14:53,0,pope,oreb,,tough call eman & #12,
2,15:00,0,pope,3pt_attempt,,,
2,15:29,1,3,2pt_made,,,
2,15:40,0,dylan,assist,,,
2,15:41,0,pope,2pt_made,,"from memory, great pass",
2,15:50,0,ev,steal,,,
2,15:52,0,ev,2pt_made,,,
2,16:06,1,3,2pt_attempt,,,
2,16:09,0,dylan,block,,,
2,16:28,1,headband,2pt_attempt ,pope,,
2,17:00,0,dom,ft_made,,,
2,17:20,0,dom,ft_made,,,
2,17:24,1,12,3pt_made,,,
2,17:53,0,dom,dreb,,,
2,17:57,0,ev,assist,,,
2,17:58,0,dom,2pt_made,,,
